season,id,name,description,home_team,away_team,1st_inning_score,2nd_inning_score,result
2024,1422119,Chennai Super Kings v Royal Challengers Bengaluru,"1st Match (N), Indian Premier League at Chennai, Mar 22 2024",CSK,RCB,173/6,176/4,CSK won by 6 wickets (with 8 balls remaining)
2024,1422120,Punjab Kings v Delhi Capitals,"2nd Match (D/N), Indian Premier League at Mohali, Mar 23 2024",PBKS,DC,174/9,177/6,PBKS won by 4 wickets (with 4 balls remaining)
2024,1422121,Kolkata Knight Riders v Sunrisers Hyderabad,"3rd Match (N), Indian Premier League at Kolkata, Mar 23 2024",KKR,SRH,208/7,204/7,KKR won by 4 runs
2024,1422122,Rajasthan Royals v Lucknow Super Giants,"4th Match (D/N), Indian Premier League at Jaipur, Mar 24 2024",RR,LSG,193/4,173/6,RR won by 20 runs
2024,1422123,Gujarat Titans v Mumbai Indians,"5th Match (N), Indian Premier League at Ahmedabad, Mar 24 2024",GT,MI,168/6,162/9,GT won by 6 runs
2024,1422124,Royal Challengers Bengaluru v Punjab Kings,"6th Match (N), Indian Premier League at Bengaluru, Mar 25 2024",RCB,PBKS,176/6,178/6,RCB won by 4 wickets (with 4 balls remaining)
2024,1422125,Chennai Super Kings v Gujarat Titans,"7th Match (N), Indian Premier League at Chennai, Mar 26 2024",CSK,GT,206/6,143/8,CSK won by 63 runs
2024,1422126,Sunrisers Hyderabad v Mumbai Indians,"8th Match (N), Indian Premier League at Hyderabad, Mar 27 2024",SRH,MI,277/3,246/5,SRH won by 31 runs
2024,1422127,Rajasthan Royals v Delhi Capitals,"9th Match (N), Indian Premier League at Jaipur, Mar 28 2024",RR,DC,185/5,173/5,RR won by 12 runs
2024,1422128,Royal Challengers Bengaluru v Kolkata Knight Riders,"10th Match (N), Indian Premier League at Bengaluru, Mar 29 2024",RCB,KKR,182/6,186/3,KKR won by 7 wickets (with 19 balls remaining)
2024,1422129,Lucknow Super Giants v Punjab Kings,"11th Match (N), Indian Premier League at Lucknow, Mar 30 2024",LSG,PBKS,199/8,178/5,LSG won by 21 runs
2024,1422130,Gujarat Titans v Sunrisers Hyderabad,"12th Match (D/N), Indian Premier League at Ahmedabad, Mar 31 2024",GT,SRH,162/8,168/3,GT won by 7 wickets (with 5 balls remaining)
2024,1422131,Delhi Capitals v Chennai Super Kings,"13th Match (N), Indian Premier League at Visakhapatnam, Mar 31 2024",DC,CSK,191/5,171/6,DC won by 20 runs
2024,1422132,Mumbai Indians v Rajasthan Royals,"14th Match (N), Indian Premier League at Mumbai, Apr 1 2024",MI,RR,125/9,127/4,RR won by 6 wickets (with 27 balls remaining)
2024,1422133,Royal Challengers Bengaluru v Lucknow Super Giants,"15th Match (N), Indian Premier League at Bengaluru, Apr 2 2024",RCB,LSG,181/5,153,LSG won by 28 runs
2024,1422134,Delhi Capitals v Kolkata Knight Riders,"16th Match (N), Indian Premier League at Visakhapatnam, Apr 3 2024",DC,KKR,272/7,166,KKR won by 106 runs
2024,1422135,Gujarat Titans v Punjab Kings,"17th Match (N), Indian Premier League at Ahmedabad, Apr 4 2024",GT,PBKS,199/4,200/7,PBKS won by 3 wickets (with 1 ball remaining)
2024,1422136,Sunrisers Hyderabad v Chennai Super Kings,"18th Match (N), Indian Premier League at Hyderabad, Apr 5 2024",SRH,CSK,165/5,166/4,SRH won by 6 wickets (with 11 balls remaining)
2024,1422137,Rajasthan Royals v Royal Challengers Bengaluru,"19th Match (N), Indian Premier League at Jaipur, Apr 6 2024",RR,RCB,183/3,189/4,RR won by 6 wickets (with 5 balls remaining)
2024,1422138,Mumbai Indians v Delhi Capitals,"20th Match (D/N), Indian Premier League at Mumbai, Apr 7 2024",MI,DC,234/5,205/8,MI won by 29 runs
2024,1422139,Lucknow Super Giants v Gujarat Titans,"21st Match (N), Indian Premier League at Lucknow, Apr 7 2024",LSG,GT,163/5,130,LSG won by 33 runs
2024,1426260,Chennai Super Kings v Kolkata Knight Riders,"22nd Match (N), Indian Premier League at Chennai, Apr 8 2024",CSK,KKR,137/9,141/3,CSK won by 7 wickets (with 14 balls remaining)
2024,1426261,Punjab Kings v Sunrisers Hyderabad,"23rd Match (N), Indian Premier League at Mohali, Apr 9 2024",PBKS,SRH,182/9,180/6,SRH won by 2 runs
2024,1426262,Rajasthan Royals v Gujarat Titans,"24th Match (N), Indian Premier League at Jaipur, Apr 10 2024",RR,GT,196/3,199/7,GT won by 3 wickets (with 0 balls remaining)
2024,1426263,Mumbai Indians v Royal Challengers Bengaluru,"25th Match (N), Indian Premier League at Mumbai, Apr 11 2024",MI,RCB,196/8,199/3,MI won by 7 wickets (with 27 balls remaining)
